Territorialidades;ESTADO;Municipio;CodMunicipio;IDHM 2010;IDHM Renda 2010;IDHM Longevidade 2010;IDHM Educação 2010
Serrolândia (BA);(BA);Serrolândia;#N/D;0,59;0,56;0,721;0,508
Serro (MG);(MG);Serro;316710;0,656;0,65;0,834;0,52
Sertaneja (PR);(PR);Sertaneja;412640;0,725;0,724;0,809;0,651
Sertânia (PE);(PE);Sertânia;#N/D;0,613;0,601;0,752;0,51
Sertanópolis (PR);(PR);Sertanópolis;#N/D;0,723;0,719;0,804;0,655
Sertão (RS);(RS);Sertão;#N/D;0,751;0,746;0,837;0,678
Sertão Santana (RS);(RS);Sertão Santana;#N/D;0,689;0,737;0,832;0,534
Sertãozinho (PB);(PB);Sertãozinho;#N/D;0,621;0,554;0,769;0,561
Sertãozinho (SP);(SP);Sertãozinho;#N/D;0,761;0,768;0,855;0,672
Sete Barras (SP);(SP);Sete Barras;355180;0,673;0,651;0,832;0,562
Sete de Setembro (RS);(RS);Sete de Setembro;432057;0,683;0,682;0,81;0,577
Sete Lagoas (MG);(MG);Sete Lagoas;#N/D;0,76;0,742;0,84;0,705
Sete Quedas (MS);(MS);Sete Quedas;500770;0,614;0,66;0,778;0,45
Setubinha (MG);(MG);Setubinha;#N/D;0,542;0,536;0,743;0,4
Severiano de Almeida (RS);(RS);Severiano de Almeida;#N/D;0,752;0,738;0,861;0,67
Severiano Melo (RN);(RN);Severiano Melo;#N/D;0,604;0,579;0,728;0,522
Severínia (SP);(SP);Severínia;#N/D;0,715;0,709;0,807;0,638
Siderópolis (SC);(SC);Siderópolis;#N/D;0,774;0,751;0,88;0,701
Sidrolândia (MS);(MS);Sidrolândia;#N/D;0,686;0,694;0,829;0,561
Sigefredo Pacheco (PI);(PI);Sigefredo Pacheco;221065;0,581;0,518;0,764;0,496
Silva Jardim (RJ);(RJ);Silva Jardim;330560;0,654;0,657;0,793;0,536
Silvânia (GO);(GO);Silvânia;#N/D;0,709;0,721;0,814;0,606
Silvanópolis (TO);(TO);Silvanópolis;#N/D;0,675;0,638;0,814;0,592
Silveira Martins (RS);(RS);Silveira Martins;#N/D;0,742;0,744;0,852;0,644
Silveirânia (MG);(MG);Silveirânia;#N/D;0,652;0,645;0,841;0,511
Silveiras (SP);(SP);Silveiras;355200;0,678;0,657;0,812;0,584
Silves (AM);(AM);Silves;#N/D;0,632;0,546;0,791;0,584
Silvianópolis (MG);(MG);Silvianópolis;#N/D;0,699;0,706;0,865;0,559
Simão Dias (SE);(SE);Simão Dias;#N/D;0,604;0,579;0,775;0,492
Simão Pereira (MG);(MG);Simão Pereira;#N/D;0,638;0,645;0,843;0,478
Simões Filho (BA);(BA);Simões Filho;#N/D;0,675;0,641;0,813;0,591
Simões (PI);(PI);Simões;#N/D;0,575;0,56;0,771;0,44
Simolândia (GO);(GO);Simolândia;#N/D;0,645;0,595;0,826;0,546
Simonésia (MG);(MG);Simonésia;#N/D;0,632;0,622;0,823;0,493
Simplício Mendes (PI);(PI);Simplício Mendes;#N/D;0,627;0,613;0,767;0,525
Sinimbu (RS);(RS);Sinimbu;432067;0,631;0,697;0,792;0,456
Sinop (MT);(MT);Sinop;510790;0,754;0,755;0,832;0,682
Siqueira Campos (PR);(PR);Siqueira Campos;412660;0,704;0,708;0,839;0,588
Sirinhaém (PE);(PE);Sirinhaém;#N/D;0,597;0,568;0,763;0,492
Siriri (SE);(SE);Siriri;280720;0,609;0,565;0,74;0,541
Sítio D'Abadia (GO);(GO);Sítio D'Abadia;#N/D;0,617;0,59;0,802;0,497
Sítio do Mato (BA);(BA);Sítio do Mato;#N/D;0,564;0,455;0,774;0,509
Sítio do Quinto (BA);(BA);Sítio do Quinto;#N/D;0,533;0,552;0,695;0,395
Sítio Novo do Tocantins (TO);(TO);Sítio Novo do Tocantins;#N/D;0,604;0,55;0,762;0,526
Sítio Novo (MA);(MA);Sítio Novo;#N/D;0,564;0,509;0,774;0,456
Sítio Novo (RN);(RN);Sítio Novo;#N/D;0,572;0,528;0,722;0,491
Sobradinho (BA);(BA);Sobradinho;293077;0,631;0,605;0,748;0,555
Sobradinho (RS);(RS);Sobradinho;432070;0,743;0,735;0,861;0,647
Sobrado (PB);(PB);Sobrado;#N/D;0,573;0,525;0,753;0,477
Sobral (CE);(CE);Sobral;231290;0,714;0,647;0,832;0,675
Sobrália (MG);(MG);Sobrália;#N/D;0,631;0,611;0,805;0,51
Socorro do Piauí (PI);(PI);Socorro do Piauí;#N/D;0,561;0,513;0,739;0,465
Socorro (SP);(SP);Socorro;355210;0,729;0,737;0,828;0,634
Solânea (PB);(PB);Solânea;#N/D;0,595;0,592;0,762;0,468
Soledade de Minas (MG);(MG);Soledade de Minas;#N/D;0,697;0,673;0,831;0,606
Soledade (PB);(PB);Soledade;251610;0,616;0,598;0,772;0,506
Soledade (RS);(RS);Soledade;432080;0,731;0,727;0,861;0,625
Solidão (PE);(PE);Solidão;#N/D;0,585;0,547;0,755;0,485
Solonópole (CE);(CE);Solonópole;#N/D;0,625;0,565;0,754;0,574
Sombrio (SC);(SC);Sombrio;421770;0,728;0,729;0,858;0,617
Sonora (MS);(MS);Sonora;500793;0,681;0,706;0,803;0,557
Sooretama (ES);(ES);Sooretama;320501;0,662;0,65;0,802;0,556
Sorocaba (SP);(SP);Sorocaba;355220;0,798;0,792;0,843;0,762
Sorriso (MT);(MT);Sorriso;510792;0,744;0,774;0,839;0,635
Sossêgo (PB);(PB);Sossêgo;#N/D;0,573;0,531;0,769;0,46
Soure (PA);(PA);Soure;150790;0,615;0,583;0,76;0,525
Sousa (PB);(PB);Sousa;#N/D;0,668;0,645;0,814;0,567
Souto Soares (BA);(BA);Souto Soares;293080;0,592;0,533;0,734;0,53
Sucupira do Norte (MA);(MA);Sucupira do Norte;211190;0,579;0,526;0,731;0,505
Sucupira do Riachão (MA);(MA);Sucupira do Riachão;#N/D;0,568;0,538;0,761;0,447
Sucupira (TO);(TO);Sucupira;#N/D;0,667;0,623;0,794;0,599
Sud Mennucci (SP);(SP);Sud Mennucci;355230;0,747;0,743;0,809;0,694
Sul Brasil (SC);(SC);Sul Brasil;421775;0,707;0,713;0,832;0,595
Sulina (PR);(PR);Sulina;#N/D;0,693;0,684;0,854;0,57
Sumaré (SP);(SP);Sumaré;#N/D;0,762;0,744;0,845;0,705
Sumé (PB);(PB);Sumé;#N/D;0,627;0,602;0,765;0,534
Sumidouro (RJ);(RJ);Sumidouro;330570;0,611;0,658;0,796;0,436
Surubim (PE);(PE);Surubim;261450;0,635;0,617;0,756;0,548
Sussuapara (PI);(PI);Sussuapara;221093;0,586;0,563;0,749;0,476
Suzanápolis (SP);(SP);Suzanápolis;#N/D;0,699;0,665;0,813;0,631
Suzano (SP);(SP);Suzano;355250;0,765;0,708;0,873;0,723
Tabaí (RS);(RS);Tabaí;#N/D;0,701;0,694;0,834;0,595
Tabaporã (MT);(MT);Tabaporã;#N/D;0,695;0,679;0,826;0,598
Tabapuã (SP);(SP);Tabapuã;#N/D;0,735;0,726;0,82;0,666
Tabatinga (AM);(AM);Tabatinga;130406;0,616;0,602;0,769;0,505
Tabatinga (SP);(SP);Tabatinga;355270;0,704;0,7;0,818;0,609
Tabira (PE);(PE);Tabira;261460;0,605;0,57;0,77;0,504
Taboão da Serra (SP);(SP);Taboão da Serra;#N/D;0,769;0,742;0,863;0,71
Tabocas do Brejo Velho (BA);(BA);Tabocas do Brejo Velho;#N/D;0,584;0,53;0,764;0,492
Taboleiro Grande (RN);(RN);Taboleiro Grande;#N/D;0,612;0,57;0,792;0,507
Tabuleiro do Norte (CE);(CE);Tabuleiro do Norte;231310;0,645;0,62;0,791;0,547
Tabuleiro (MG);(MG);Tabuleiro;316790;0,681;0,666;0,821;0,578
Tacaimbó (PE);(PE);Tacaimbó;#N/D;0,554;0,536;0,748;0,423
Tacaratu (PE);(PE);Tacaratu;261480;0,573;0,521;0,711;0,507
Taciba (SP);(SP);Taciba;355290;0,723;0,682;0,809;0,684
Tacima (PB);(PB);Tacima;#N/D;0,551;0,513;0,726;0,45
Tacuru (MS);(MS);Tacuru;500795;0,593;0,615;0,782;0,434
Taguaí (SP);(SP);Taguaí;#N/D;0,709;0,69;0,818;0,631
Taguatinga (TO);(TO);Taguatinga;172090;0,634;0,628;0,818;0,497
Taiaçu (SP);(SP);Taiaçu;#N/D;0,71;0,701;0,814;0,628
Tailândia (PA);(PA);Tailândia;#N/D;0,588;0,583;0,776;0,45
Taiobeiras (MG);(MG);Taiobeiras;316800;0,67;0,639;0,815;0,578
Taió (SC);(SC);Taió;#N/D;0,761;0,749;0,879;0,67
Taipas do Tocantins (TO);(TO);Taipas do Tocantins;#N/D;0,601;0,578;0,798;0,47
Taipu (RN);(RN);Taipu;#N/D;0,569;0,544;0,778;0,435
Taiúva (SP);(SP);Taiúva;#N/D;0,76;0,732;0,835;0,718
Talismã (TO);(TO);Talismã;#N/D;0,654;0,654;0,801;0,535
Tamandaré (PE);(PE);Tamandaré;#N/D;0,593;0,583;0,745;0,479
Tamarana (PR);(PR);Tamarana;412667;0,621;0,628;0,829;0,46
Tambaú (SP);(SP);Tambaú;#N/D;0,731;0,729;0,858;0,624
Tamboara (PR);(PR);Tamboara;412670;0,731;0,679;0,852;0,674
Tamboril (CE);(CE);Tamboril;231320;0,58;0,526;0,779;0,476
Tamboril do Piauí (PI);(PI);Tamboril do Piauí;#N/D;0,501;0,509;0,685;0,36
Tanabi (SP);(SP);Tanabi;355340;0,748;0,735;0,829;0,687
Tangará da Serra (MT);(MT);Tangará da Serra;#N/D;0,729;0,749;0,825;0,626
Tangará (RN);(RN);Tangará;#N/D;0,608;0,566;0,77;0,516
Tangará (SC);(SC);Tangará;#N/D;0,737;0,748;0,867;0,617
Tanguá (RJ);(RJ);Tanguá;#N/D;0,654;0,644;0,793;0,548
Tanhaçu (BA);(BA);Tanhaçu;#N/D;0,577;0,565;0,772;0,44
Tanque D'Arca (AL);(AL);Tanque D'Arca;#N/D;0,555;0,531;0,748;0,43
Tanque do Piauí (PI);(PI);Tanque do Piauí;#N/D;0,579;0,553;0,704;0,499
Tanque Novo (BA);(BA);Tanque Novo;#N/D;0,599;0,583;0,778;0,474
Tanquinho (BA);(BA);Tanquinho;#N/D;0,597;0,567;0,768;0,488
Taparuba (MG);(MG);Taparuba;316805;0,645;0,604;0,799;0,557
Tapauá (AM);(AM);Tapauá;#N/D;0,502;0,512;0,694;0,355
Tapejara (PR);(PR);Tapejara;412680;0,703;0,694;0,819;0,612
Tapejara (RS);(RS);Tapejara;432090;0,76;0,763;0,837;0,688
Tapera (RS);(RS);Tapera;432100;0,747;0,743;0,835;0,672
Taperoá (BA);(BA);Taperoá;#N/D;0,566;0,566;0,754;0,426
Taperoá (PB);(PB);Taperoá;#N/D;0,578;0,564;0,749;0,456
Tapes (RS);(RS);Tapes;#N/D;0,695;0,699;0,862;0,556
Tapiraí (MG);(MG);Tapiraí;#N/D;0,667;0,67;0,847;0,522
Tapiraí (SP);(SP);Tapiraí;#N/D;0,681;0,647;0,846;0,578
Tapira (MG);(MG);Tapira;316810;0,712;0,759;0,847;0,561
