Territorialidades;ESTADO;Municipio;CodMunicipio;IDHM 2010;IDHM Renda 2010;IDHM Longevidade 2010;IDHM Educação 2010
Japaraíba (MG);(MG);Japaraíba;#N/D;0,721;0,677;0,844;0,656
Japaratinga (AL);(AL);Japaratinga;270360;0,57;0,56;0,735;0,451
Japaratuba (SE);(SE);Japaratuba;280330;0,621;0,581;0,757;0,544
Japeri (RJ);(RJ);Japeri;330227;0,659;0,637;0,809;0,555
Japira (PR);(PR);Japira;411230;0,696;0,675;0,827;0,603
Japi (RN);(RN);Japi;#N/D;0,569;0,528;0,726;0,48
Japoatã (SE);(SE);Japoatã;#N/D;0,56;0,551;0,7;0,455
Japonvar (MG);(MG);Japonvar;313535;0,608;0,556;0,786;0,514
Japorã (MS);(MS);Japorã;#N/D;0,526;0,547;0,791;0,337
Japurá (AM);(AM);Japurá;#N/D;0,522;0,552;0,748;0,345
Japurá (PR);(PR);Japurá;#N/D;0,712;0,698;0,829;0,623
Jaqueira (PE);(PE);Jaqueira;260795;0,575;0,557;0,751;0,454
Jaquirana (RS);(RS);Jaquirana;#N/D;0,614;0,626;0,779;0,475
Jaraguá do Sul (SC);(SC);Jaraguá do Sul;#N/D;0,803;0,793;0,865;0,755
Jaraguá (GO);(GO);Jaraguá;#N/D;0,699;0,692;0,841;0,588
Jaraguari (MS);(MS);Jaraguari;#N/D;0,664;0,668;0,827;0,53
Jaramataia (AL);(AL);Jaramataia;270370;0,552;0,532;0,701;0,451
Jardim Alegre (PR);(PR);Jardim Alegre;411250;0,689;0,696;0,827;0,569
Jardim (CE);(CE);Jardim;230710;0,614;0,547;0,779;0,542
Jardim de Angicos (RN);(RN);Jardim de Angicos;#N/D;0,565;0,557;0,74;0,437
Jardim de Piranhas (RN);(RN);Jardim de Piranhas;240560;0,603;0,59;0,792;0,469
Jardim do Mulato (PI);(PI);Jardim do Mulato;#N/D;0,593;0,532;0,711;0,55
Jardim do Seridó (RN);(RN);Jardim do Seridó;#N/D;0,663;0,647;0,772;0,584
Jardim (MS);(MS);Jardim;500500;0,712;0,718;0,845;0,595
Jardim Olinda (PR);(PR);Jardim Olinda;411260;0,682;0,669;0,791;0,6
Jardinópolis (SC);(SC);Jardinópolis;#N/D;0,709;0,708;0,823;0,611
Jardinópolis (SP);(SP);Jardinópolis;#N/D;0,735;0,728;0,853;0,64
Jarinu (SP);(SP);Jarinu;352520;0,733;0,723;0,826;0,659
Jari (RS);(RS);Jari;#N/D;0,631;0,636;0,836;0,473
Jaru (RO);(RO);Jaru;110011;0,689;0,687;0,825;0,577
Jataí (GO);(GO);Jataí;#N/D;0,757;0,774;0,856;0,656
Jataizinho (PR);(PR);Jataizinho;411270;0,687;0,669;0,845;0,574
Jataúba (PE);(PE);Jataúba;#N/D;0,53;0,549;0,712;0,381
Jateí (MS);(MS);Jateí;#N/D;0,708;0,716;0,857;0,579
Jati (CE);(CE);Jati;230720;0,651;0,562;0,776;0,634
Jatobá do Piauí (PI);(PI);Jatobá do Piauí;#N/D;0,566;0,525;0,78;0,442
Jatobá (MA);(MA);Jatobá;#N/D;0,561;0,522;0,702;0,481
Jatobá (PE);(PE);Jatobá;#N/D;0,645;0,604;0,775;0,573
Jaú do Tocantins (TO);(TO);Jaú do Tocantins;#N/D;0,662;0,672;0,815;0,529
Jaupaci (GO);(GO);Jaupaci;521200;0,689;0,658;0,824;0,602
Jauru (MT);(MT);Jauru;510500;0,673;0,668;0,812;0,563
Jaú (SP);(SP);Jaú;#N/D;0,778;0,768;0,886;0,693
Jeceaba (MG);(MG);Jeceaba;#N/D;0,661;0,629;0,844;0,544
Jenipapo de Minas (MG);(MG);Jenipapo de Minas;313545;0,624;0,588;0,793;0,52
Jenipapo dos Vieiras (MA);(MA);Jenipapo dos Vieiras;#N/D;0,49;0,445;0,766;0,346
Jequeri (MG);(MG);Jequeri;313550;0,601;0,607;0,794;0,451
Jequiá da Praia (AL);(AL);Jequiá da Praia;#N/D;0,556;0,517;0,772;0,43
Jequié (BA);(BA);Jequié;#N/D;0,665;0,656;0,79;0,568
Jequitaí (MG);(MG);Jequitaí;#N/D;0,643;0,605;0,797;0,552
Jequitibá (MG);(MG);Jequitibá;#N/D;0,689;0,777;0,854;0,492
Jequitinhonha (MG);(MG);Jequitinhonha;#N/D;0,615;0,619;0,817;0,461
Jeremoabo (BA);(BA);Jeremoabo;#N/D;0,547;0,561;0,689;0,424
Jericó (PB);(PB);Jericó;#N/D;0,603;0,577;0,798;0,476
Jeriquara (SP);(SP);Jeriquara;352540;0,703;0,68;0,814;0,628
Jerônimo Monteiro (ES);(ES);Jerônimo Monteiro;#N/D;0,698;0,685;0,844;0,589
Jerumenha (PI);(PI);Jerumenha;#N/D;0,591;0,569;0,787;0,461
Jesuânia (MG);(MG);Jesuânia;#N/D;0,658;0,675;0,831;0,507
Jesuítas (PR);(PR);Jesuítas;#N/D;0,705;0,68;0,839;0,615
Jesúpolis (GO);(GO);Jesúpolis;#N/D;0,649;0,642;0,814;0,522
Jijoca de Jericoacoara (CE);(CE);Jijoca de Jericoacoara;230725;0,652;0,614;0,723;0,625
Ji-Paraná (RO);(RO);Ji-Paraná;#N/D;0,714;0,728;0,81;0,617
Jiquiriçá (BA);(BA);Jiquiriçá;#N/D;0,553;0,558;0,763;0,397
Jitaúna (BA);(BA);Jitaúna;#N/D;0,575;0,563;0,704;0,479
Joaçaba (SC);(SC);Joaçaba;#N/D;0,827;0,823;0,891;0,771
Joaíma (MG);(MG);Joaíma;#N/D;0,587;0,572;0,789;0,448
Joanésia (MG);(MG);Joanésia;#N/D;0,626;0,616;0,803;0,495
Joanópolis (SP);(SP);Joanópolis;#N/D;0,699;0,707;0,824;0,585
João Alfredo (PE);(PE);João Alfredo;#N/D;0,576;0,569;0,72;0,466
João Câmara (RN);(RN);João Câmara;#N/D;0,595;0,6;0,724;0,484
João Costa (PI);(PI);João Costa;#N/D;0,561;0,51;0,752;0,46
João Dias (RN);(RN);João Dias;#N/D;0,53;0,495;0,771;0,39
João Dourado (BA);(BA);João Dourado;#N/D;0,593;0,573;0,709;0,513
João Lisboa (MA);(MA);João Lisboa;#N/D;0,641;0,585;0,785;0,573
João Monlevade (MG);(MG);João Monlevade;#N/D;0,758;0,724;0,849;0,708
João Neiva (ES);(ES);João Neiva;#N/D;0,753;0,751;0,857;0,663
João Pessoa (PB);(PB);João Pessoa;#N/D;0,763;0,77;0,832;0,693
João Pinheiro (MG);(MG);João Pinheiro;#N/D;0,697;0,683;0,788;0,63
João Ramalho (SP);(SP);João Ramalho;#N/D;0,741;0,701;0,818;0,71
Joaquim Felício (MG);(MG);Joaquim Felício;#N/D;0,637;0,642;0,824;0,489
Joaquim Gomes (AL);(AL);Joaquim Gomes;270380;0,531;0,509;0,764;0,386
Joaquim Nabuco (PE);(PE);Joaquim Nabuco;260820;0,554;0,561;0,676;0,449
Joaquim Pires (PI);(PI);Joaquim Pires;#N/D;0,522;0,485;0,765;0,384
Joaquim Távora (PR);(PR);Joaquim Távora;#N/D;0,7;0,699;0,801;0,613
Joca Marques (PI);(PI);Joca Marques;#N/D;0,504;0,501;0,726;0,353
Jóia (RS);(RS);Jóia;#N/D;0,686;0,671;0,841;0,572
Joinville (SC);(SC);Joinville;420910;0,809;0,795;0,889;0,749
Jordânia (MG);(MG);Jordânia;#N/D;0,628;0,613;0,797;0,506
Jordão (AC);(AC);Jordão;#N/D;0,469;0,499;0,731;0,283
José Boiteux (SC);(SC);José Boiteux;#N/D;0,694;0,689;0,841;0,578
José Bonifácio (SP);(SP);José Bonifácio;#N/D;0,777;0,752;0,869;0,717
José da Penha (RN);(RN);José da Penha;#N/D;0,608;0,583;0,788;0,489
José de Freitas (PI);(PI);José de Freitas;#N/D;0,618;0,591;0,781;0,512
José Gonçalves de Minas (MG);(MG);José Gonçalves de Minas;#N/D;0,632;0,597;0,764;0,553
Joselândia (MA);(MA);Joselândia;#N/D;0,561;0,533;0,743;0,445
Josenópolis (MG);(MG);Josenópolis;#N/D;0,564;0,541;0,782;0,424
José Raydan (MG);(MG);José Raydan;#N/D;0,617;0,596;0,799;0,493
Joviânia (GO);(GO);Joviânia;#N/D;0,706;0,714;0,827;0,595
Juara (MT);(MT);Juara;510510;0,682;0,699;0,836;0,543
Juarez Távora (PB);(PB);Juarez Távora;#N/D;0,579;0,544;0,768;0,465
Juarina (TO);(TO);Juarina;171180;0,584;0,563;0,742;0,478
Juatuba (MG);(MG);Juatuba;313665;0,717;0,67;0,849;0,649
Juazeirinho (PB);(PB);Juazeirinho;250770;0,567;0,557;0,753;0,435
Juazeiro (BA);(BA);Juazeiro;291840;0,677;0,657;0,796;0,594
Juazeiro do Norte (CE);(CE);Juazeiro do Norte;230730;0,694;0,644;0,81;0,642
Juazeiro do Piauí (PI);(PI);Juazeiro do Piauí;#N/D;0,57;0,522;0,753;0,47
Jucás (CE);(CE);Jucás;#N/D;0,598;0,541;0,772;0,511
Jucati (PE);(PE);Jucati;#N/D;0,55;0,541;0,681;0,451
Jucuruçu (BA);(BA);Jucuruçu;#N/D;0,541;0,508;0,751;0,415
Jucurutu (RN);(RN);Jucurutu;240610;0,601;0,583;0,755;0,492
Juína (MT);(MT);Juína;#N/D;0,716;0,733;0,845;0,593
Juiz de Fora (MG);(MG);Juiz de Fora;313670;0,778;0,784;0,844;0,711
Júlio Borges (PI);(PI);Júlio Borges;#N/D;0,582;0,5;0,777;0,508
Júlio de Castilhos (RS);(RS);Júlio de Castilhos;#N/D;0,716;0,733;0,833;0,602
Júlio Mesquita (SP);(SP);Júlio Mesquita;#N/D;0,716;0,659;0,813;0,686
Jumirim (SP);(SP);Jumirim;352585;0,741;0,721;0,863;0,655
Junco do Maranhão (MA);(MA);Junco do Maranhão;#N/D;0,552;0,55;0,69;0,443
Junco do Seridó (PB);(PB);Junco do Seridó;#N/D;0,617;0,571;0,715;0,576
Jundiá (AL);(AL);Jundiá;#N/D;0,562;0,573;0,715;0,434
Jundiaí do Sul (PR);(PR);Jundiaí do Sul;#N/D;0,688;0,66;0,817;0,605
Jundiaí (SP);(SP);Jundiaí;#N/D;0,822;0,834;0,866;0,768
Jundiá (RN);(RN);Jundiá;#N/D;0,595;0,552;0,775;0,492
Junqueiro (AL);(AL);Junqueiro;270400;0,575;0,586;0,714;0,454
Junqueirópolis (SP);(SP);Junqueirópolis;#N/D;0,745;0,727;0,86;0,662
Jupiá (SC);(SC);Jupiá;#N/D;0,719;0,708;0,862;0,61
Jupi (PE);(PE);Jupi;260830;0,575;0,56;0,698;0,487
Juquiá (SP);(SP);Juquiá;#N/D;0,7;0,654;0,823;0,637
Juquitiba (SP);(SP);Juquitiba;352620;0,709;0,68;0,791;0,662
Juramento (MG);(MG);Juramento;#N/D;0,669;0,601;0,808;0,617
Juranda (PR);(PR);Juranda;411295;0,708;0,678;0,818;0,639
Jurema (PE);(PE);Jurema;260840;0,509;0,522;0,681;0,372
Jurema (PI);(PI);Jurema;#N/D;0,555;0,511;0,767;0,435
Juripiranga (PB);(PB);Juripiranga;250790;0,548;0,544;0,677;0,448
Juruá (AM);(AM);Juruá;#N/D;0,522;0,538;0,704;0,376
Juruaia (MG);(MG);Juruaia;313690;0,723;0,794;0,86;0,553
Juruena (MT);(MT);Juruena;510517;0,662;0,647;0,797;0,563
Juru (PB);(PB);Juru;250800;0,57;0,552;0,758;0,443
Juruti (PA);(PA);Juruti;150390;0,592;0,547;0,756;0,501
Juscimeira (MT);(MT);Juscimeira;510520;0,714;0,678;0,842;0,637
Jussara (BA);(BA);Jussara;291850;0,571;0,544;0,72;0,476
Jussara (GO);(GO);Jussara;521220;0,743;0,768;0,842;0,635
Jussara (PR);(PR);Jussara;411300;0,718;0,716;0,835;0,619
Jussari (BA);(BA);Jussari;291855;0,567;0,577;0,699;0,451
Jussiape (BA);(BA);Jussiape;291860;0,602;0,6;0,736;0,493
Jutaí (AM);(AM);Jutaí;#N/D;0,516;0,528;0,766;0,34
Juti (MS);(MS);Juti;500515;0,623;0,646;0,77;0,485
Juvenília (MG);(MG);Juvenília;#N/D;0,592;0,535;0,776;0,501
Kaloré (PR);(PR);Kaloré;#N/D;0,721;0,673;0,848;0,657
Lábrea (AM);(AM);Lábrea;#N/D;0,531;0,538;0,744;0,374
Lacerdópolis (SC);(SC);Lacerdópolis;#N/D;0,781;0,763;0,883;0,708
Ladainha (MG);(MG);Ladainha;313700;0,541;0,537;0,754;0,391
Ladário (MS);(MS);Ladário;#N/D;0,704;0,687;0,822;0,618
Lafaiete Coutinho (BA);(BA);Lafaiete Coutinho;#N/D;0,599;0,576;0,771;0,483
Lagamar (MG);(MG);Lagamar;313710;0,718;0,692;0,839;0,637
Lagarto (SE);(SE);Lagarto;280350;0,625;0,613;0,775;0,515
Lages (SC);(SC);Lages;420930;0,77;0,755;0,867;0,697
Lagoa Alegre (PI);(PI);Lagoa Alegre;#N/D;0,55;0,538;0,728;0,425
Lagoa Bonita do Sul (RS);(RS);Lagoa Bonita do Sul;#N/D;0,67;0,696;0,801;0,539
Lagoa da Canoa (AL);(AL);Lagoa da Canoa;#N/D;0,552;0,541;0,703;0,443
Lagoa da Confusão (TO);(TO);Lagoa da Confusão;#N/D;0,627;0,63;0,787;0,496
Lagoa D'Anta (RN);(RN);Lagoa D'Anta;#N/D;0,601;0,58;0,739;0,507
Lagoa da Prata (MG);(MG);Lagoa da Prata;313720;0,732;0,72;0,832;0,655
Lagoa de Dentro (PB);(PB);Lagoa de Dentro;#N/D;0,57;0,539;0,772;0,444
Lagoa de Itaenga (PE);(PE);Lagoa de Itaenga;260850;0,602;0,555;0,774;0,509
Lagoa de Pedras (RN);(RN);Lagoa de Pedras;#N/D;0,553;0,529;0,734;0,436
Lagoa de São Francisco (PI);(PI);Lagoa de São Francisco;#N/D;0,529;0,499;0,743;0,4
Lagoa de Velhos (RN);(RN);Lagoa de Velhos;#N/D;0,589;0,566;0,789;0,458
Lagoa do Barro do Piauí (PI);(PI);Lagoa do Barro do Piauí;#N/D;0,502;0,474;0,744;0,358
Lagoa do Carro (PE);(PE);Lagoa do Carro;#N/D;0,609;0,566;0,789;0,505
Lagoa do Mato (MA);(MA);Lagoa do Mato;210592;0,566;0,525;0,726;0,475
Lagoa do Ouro (PE);(PE);Lagoa do Ouro;260860;0,525;0,536;0,733;0,369
Lagoa do Piauí (PI);(PI);Lagoa do Piauí;#N/D;0,583;0,548;0,778;0,464
Lagoa dos Gatos (PE);(PE);Lagoa dos Gatos;260870;0,551;0,555;0,725;0,416
Lagoa do Sítio (PI);(PI);Lagoa do Sítio;#N/D;0,541;0,504;0,745;0,421
Lagoa dos Patos (MG);(MG);Lagoa dos Patos;313730;0,634;0,593;0,773;0,556
Lagoa dos Três Cantos (RS);(RS);Lagoa dos Três Cantos;#N/D;0,789;0,765;0,852;0,754
Lagoa do Tocantins (TO);(TO);Lagoa do Tocantins;#N/D;0,579;0,543;0,758;0,471
Lagoa Dourada (MG);(MG);Lagoa Dourada;#N/D;0,676;0,672;0,828;0,554
Lagoa Formosa (MG);(MG);Lagoa Formosa;313750;0,703;0,717;0,832;0,582
Lagoa Grande do Maranhão (MA);(MA);Lagoa Grande do Maranhão;#N/D;0,502;0,48;0,731;0,36
Lagoa Grande (MG);(MG);Lagoa Grande;313753;0,679;0,678;0,812;0,568
Lagoa Grande (PE);(PE);Lagoa Grande;#N/D;0,597;0,581;0,705;0,52
Lagoa Nova (RN);(RN);Lagoa Nova;#N/D;0,585;0,542;0,764;0,483
Lagoão (RS);(RS);Lagoão;#N/D;0,643;0,641;0,822;0,505
Lagoa (PB);(PB);Lagoa;#N/D;0,563;0,533;0,747;0,448
Lagoa Real (BA);(BA);Lagoa Real;291875;0,545;0,535;0,764;0,395
Lagoa Salgada (RN);(RN);Lagoa Salgada;#N/D;0,582;0,551;0,771;0,464
Lagoa Santa (GO);(GO);Lagoa Santa;521225;0,74;0,733;0,868;0,638
Lagoa Santa (MG);(MG);Lagoa Santa;313760;0,777;0,79;0,857;0,693
Lagoa Seca (PB);(PB);Lagoa Seca;#N/D;0,627;0,621;0,769;0,516
Lagoa Vermelha (RS);(RS);Lagoa Vermelha;431130;0,738;0,734;0,885;0,62
Lago da Pedra (MA);(MA);Lago da Pedra;210570;0,589;0,561;0,724;0,502
Lago do Junco (MA);(MA);Lago do Junco;210580;0,581;0,537;0,741;0,492
Lago dos Rodrigues (MA);(MA);Lago dos Rodrigues;#N/D;0,602;0,555;0,737;0,534
Lagoinha do Piauí (PI);(PI);Lagoinha do Piauí;#N/D;0,597;0,561;0,776;0,488
Lagoinha (SP);(SP);Lagoinha;352630;0,693;0,686;0,797;0,609
Lago Verde (MA);(MA);Lago Verde;#N/D;0,557;0,508;0,731;0,466
Laguna Carapã (MS);(MS);Laguna Carapã;#N/D;0,672;0,676;0,822;0,545
Laguna (SC);(SC);Laguna;420940;0,752;0,715;0,871;0,682
Lajeado do Bugre (RS);(RS);Lajeado do Bugre;#N/D;0,613;0,604;0,822;0,465
Lajeado Grande (SC);(SC);Lajeado Grande;420945;0,771;0,75;0,858;0,712
Lajeado Novo (MA);(MA);Lajeado Novo;210598;0,589;0,561;0,738;0,494
Lajeado (RS);(RS);Lajeado;431140;0,778;0,796;0,84;0,704
Lajeado (TO);(TO);Lajeado;171200;0,675;0,673;0,798;0,573
Laje (BA);(BA);Laje;#N/D;0,586;0,548;0,764;0,48
Lajedão (BA);(BA);Lajedão;#N/D;0,632;0,652;0,778;0,497
Lajedinho (BA);(BA);Lajedinho;291900;0,546;0,522;0,753;0,413
Lajedo do Tabocal (BA);(BA);Lajedo do Tabocal;#N/D;0,584;0,545;0,764;0,479
Laje do Muriaé (RJ);(RJ);Laje do Muriaé;#N/D;0,668;0,649;0,8;0,575
Lajedo (PE);(PE);Lajedo;#N/D;0,611;0,599;0,758;0,503
Lajes Pintadas (RN);(RN);Lajes Pintadas;240680;0,625;0,559;0,769;0,568
Lajes (RN);(RN);Lajes;#N/D;0,624;0,578;0,756;0,557
Lajinha (MG);(MG);Lajinha;313770;0,661;0,659;0,81;0,541
Lamarão (BA);(BA);Lamarão;#N/D;0,518;0,501;0,747;0,372
Lambari D'Oeste (MT);(MT);Lambari D'Oeste;510523;0,627;0,67;0,787;0,467
Lambari (MG);(MG);Lambari;313780;0,711;0,693;0,871;0,596
Lamim (MG);(MG);Lamim;313790;0,655;0,623;0,828;0,546
Landri Sales (PI);(PI);Landri Sales;220560;0,584;0,563;0,738;0,48
Lapão (BA);(BA);Lapão;#N/D;0,596;0,55;0,755;0,51
Lapa (PR);(PR);Lapa;411320;0,706;0,696;0,848;0,595
Laranja da Terra (ES);(ES);Laranja da Terra;320316;0,656;0,633;0,81;0,55
Laranjal do Jari (AP);(AP);Laranjal do Jari;160027;0,665;0,641;0,801;0,573
Laranjal (MG);(MG);Laranjal;#N/D;0,714;0,694;0,857;0,613
Laranjal Paulista (SP);(SP);Laranjal Paulista;352640;0,729;0,732;0,829;0,639
Laranjal (PR);(PR);Laranjal;411325;0,585;0,581;0,79;0,436
Laranjeiras do Sul (PR);(PR);Laranjeiras do Sul;411330;0,706;0,709;0,835;0,594
Laranjeiras (SE);(SE);Laranjeiras;280360;0,642;0,589;0,772;0,582
Lassance (MG);(MG);Lassance;313810;0,629;0,614;0,795;0,511
Lastro (PB);(PB);Lastro;250840;0,533;0,532;0,747;0,38
Laurentino (SC);(SC);Laurentino;420950;0,749;0,742;0,855;0,662
Lauro de Freitas (BA);(BA);Lauro de Freitas;291920;0,754;0,781;0,827;0,663
Lauro Muller (SC);(SC);Lauro Muller;#N/D;0,735;0,714;0,822;0,677
Lavandeira (TO);(TO);Lavandeira;#N/D;0,66;0,598;0,775;0,62
Lavínia (SP);(SP);Lavínia;#N/D;0,721;0,698;0,82;0,655
Lavras da Mangabeira (CE);(CE);Lavras da Mangabeira;#N/D;0,613;0,576;0,778;0,515
Lavras do Sul (RS);(RS);Lavras do Sul;#N/D;0,699;0,683;0,868;0,577
Lavras (MG);(MG);Lavras;313820;0,782;0,757;0,88;0,719
Lavrinhas (SP);(SP);Lavrinhas;352660;0,729;0,665;0,823;0,707
Leandro Ferreira (MG);(MG);Leandro Ferreira;313830;0,71;0,707;0,875;0,579
Lebon Régis (SC);(SC);Lebon Régis;#N/D;0,649;0,632;0,806;0,537
Leme do Prado (MG);(MG);Leme do Prado;313835;0,67;0,602;0,779;0,64
Leme (SP);(SP);Leme;352670;0,744;0,729;0,851;0,665
Lençóis (BA);(BA);Lençóis;#N/D;0,623;0,613;0,775;0,51
Lençóis Paulista (SP);(SP);Lençóis Paulista;#N/D;0,764;0,743;0,837;0,717
Leoberto Leal (SC);(SC);Leoberto Leal;#N/D;0,686;0,74;0,818;0,533
Leopoldina (MG);(MG);Leopoldina;313840;0,726;0,696;0,867;0,635
Leopoldo de Bulhões (GO);(GO);Leopoldo de Bulhões;#N/D;0,659;0,665;0,812;0,529
Leópolis (PR);(PR);Leópolis;#N/D;0,707;0,657;0,812;0,663
Liberato Salzano (RS);(RS);Liberato Salzano;431160;0,685;0,68;0,81;0,583
Liberdade (MG);(MG);Liberdade;313850;0,672;0,679;0,834;0,537
Licínio de Almeida (BA);(BA);Licínio de Almeida;#N/D;0,621;0,582;0,775;0,531
Lidianópolis (PR);(PR);Lidianópolis;#N/D;0,68;0,657;0,802;0,598
Lima Campos (MA);(MA);Lima Campos;#N/D;0,581;0,578;0,705;0,481
Lima Duarte (MG);(MG);Lima Duarte;313860;0,71;0,705;0,861;0,59
Limeira do Oeste (MG);(MG);Limeira do Oeste;313862;0,71;0,693;0,834;0,62
Limeira (SP);(SP);Limeira;352690;0,775;0,761;0,852;0,719
Limoeiro de Anadia (AL);(AL);Limoeiro de Anadia;270420;0,58;0,575;0,742;0,457
Limoeiro do Ajuru (PA);(PA);Limoeiro do Ajuru;150400;0,541;0,493;0,754;0,425
Limoeiro do Norte (CE);(CE);Limoeiro do Norte;230760;0,682;0,633;0,804;0,623
Limoeiro (PE);(PE);Limoeiro;260890;0,663;0,628;0,797;0,583
Lindoeste (PR);(PR);Lindoeste;#N/D;0,666;0,652;0,769;0,588
Lindóia do Sul (SC);(SC);Lindóia do Sul;#N/D;0,743;0,747;0,865;0,636
Lindóia (SP);(SP);Lindóia;#N/D;0,742;0,722;0,864;0,654
Lindolfo Collor (RS);(RS);Lindolfo Collor;#N/D;0,712;0,712;0,842;0,601
Linha Nova (RS);(RS);Linha Nova;#N/D;0,749;0,751;0,846;0,662
Linhares (ES);(ES);Linhares;320320;0,724;0,721;0,834;0,63
Lins (SP);(SP);Lins;352710;0,786;0,762;0,869;0,733
Livramento de Nossa Senhora (BA);(BA);Livramento de Nossa Senhora;291950;0,611;0,587;0,793;0,491
Livramento (PB);(PB);Livramento;250850;0,566;0,523;0,732;0,473
Lizarda (TO);(TO);Lizarda;#N/D;0,57;0,584;0,765;0,415
Loanda (PR);(PR);Loanda;411350;0,725;0,724;0,815;0,645
Lobato (PR);(PR);Lobato;411360;0,744;0,708;0,841;0,692
Logradouro (PB);(PB);Logradouro;#N/D;0,583;0,544;0,776;0,47
Londrina (PR);(PR);Londrina;411370;0,778;0,789;0,837;0,712
Lontra (MG);(MG);Lontra;313865;0,646;0,589;0,794;0,577
Lontras (SC);(SC);Lontras;420990;0,704;0,735;0,82;0,579
Lorena (SP);(SP);Lorena;352720;0,766;0,736;0,856;0,713
Loreto (MA);(MA);Loreto;210610;0,582;0,516;0,771;0,495
Lourdes (SP);(SP);Lourdes;352725;0,742;0,697;0,816;0,717
Louveira (SP);(SP);Louveira;352730;0,777;0,783;0,861;0,697
Lucas do Rio Verde (MT);(MT);Lucas do Rio Verde;510525;0,768;0,766;0,833;0,71
Lucélia (SP);(SP);Lucélia;#N/D;0,752;0,728;0,841;0,695
Lucena (PB);(PB);Lucena;#N/D;0,583;0,577;0,734;0,469
Lucianópolis (SP);(SP);Lucianópolis;#N/D;0,733;0,736;0,809;0,662
Luciara (MT);(MT);Luciara;510530;0,676;0,617;0,788;0,634
Lucrécia (RN);(RN);Lucrécia;#N/D;0,646;0,624;0,785;0,551
Luís Antônio (SP);(SP);Luís Antônio;#N/D;0,731;0,709;0,822;0,671
Luisburgo (MG);(MG);Luisburgo;313867;0,608;0,61;0,809;0,455
Luís Correia (PI);(PI);Luís Correia;#N/D;0,541;0,544;0,73;0,398
Luís Domingues (MA);(MA);Luís Domingues;#N/D;0,588;0,541;0,734;0,512
Luís Eduardo Magalhães (BA);(BA);Luís Eduardo Magalhães;#N/D;0,716;0,754;0,826;0,59
Luís Gomes (RN);(RN);Luís Gomes;#N/D;0,608;0,545;0,776;0,531
Luislândia (MG);(MG);Luislândia;#N/D;0,614;0,568;0,799;0,509
Luiz Alves (SC);(SC);Luiz Alves;421000;0,737;0,766;0,87;0,6
Luiziana (PR);(PR);Luiziana;#N/D;0,668;0,659;0,781;0,58
Luiziânia (SP);(SP);Luiziânia;#N/D;0,702;0,682;0,815;0,623
Luminárias (MG);(MG);Luminárias;#N/D;0,678;0,656;0,821;0,578
Lunardelli (PR);(PR);Lunardelli;411375;0,69;0,655;0,826;0,607
Lupércio (SP);(SP);Lupércio;#N/D;0,724;0,679;0,83;0,674
Lupionópolis (PR);(PR);Lupionópolis;#N/D;0,71;0,703;0,856;0,595
Lutécia (SP);(SP);Lutécia;#N/D;0,72;0,67;0,846;0,659
Luzerna (SC);(SC);Luzerna;421003;0,789;0,781;0,877;0,718
Luziânia (GO);(GO);Luziânia;#N/D;0,701;0,689;0,831;0,602
Luzilândia (PI);(PI);Luzilândia;#N/D;0,545;0,55;0,7;0,42
Luzinópolis (TO);(TO);Luzinópolis;#N/D;0,639;0,593;0,726;0,605
Luz (MG);(MG);Luz;313880;0,724;0,723;0,833;0,63
Macaé (RJ);(RJ);Macaé;#N/D;0,764;0,792;0,828;0,681
Macaíba (RN);(RN);Macaíba;#N/D;0,64;0,613;0,784;0,545
Macajuba (BA);(BA);Macajuba;#N/D;0,524;0,515;0,78;0,358
Maçambará (RS);(RS);Maçambará;#N/D;0,684;0,664;0,832;0,58
Macambira (SE);(SE);Macambira;#N/D;0,583;0,573;0,728;0,474
Macapá (AP);(AP);Macapá;#N/D;0,733;0,723;0,82;0,663
Macaparana (PE);(PE);Macaparana;#N/D;0,609;0,571;0,778;0,508
Macarani (BA);(BA);Macarani;291970;0,605;0,607;0,782;0,466
Macatuba (SP);(SP);Macatuba;352800;0,77;0,763;0,859;0,697
Macaubal (SP);(SP);Macaubal;352810;0,743;0,72;0,844;0,676
Macaúbas (BA);(BA);Macaúbas;#N/D;0,609;0,557;0,791;0,513
Macau (RN);(RN);Macau;240720;0,665;0,65;0,792;0,572
Macedônia (SP);(SP);Macedônia;#N/D;0,74;0,705;0,852;0,675
Maceió (AL);(AL);Maceió;#N/D;0,721;0,739;0,799;0,635
Machacalis (MG);(MG);Machacalis;313890;0,64;0,607;0,783;0,552
Machadinho D'Oeste (RO);(RO);Machadinho D'Oeste;110013;0,596;0,629;0,755;0,446
Machadinho (RS);(RS);Machadinho;#N/D;0,692;0,711;0,807;0,577
Machado (MG);(MG);Machado;313900;0,715;0,719;0,848;0,6
Machados (PE);(PE);Machados;260910;0,578;0,541;0,767;0,466
Macieira (SC);(SC);Macieira;#N/D;0,662;0,675;0,806;0,533
Macuco (RJ);(RJ);Macuco;#N/D;0,703;0,687;0,801;0,631
Macururé (BA);(BA);Macururé;#N/D;0,604;0,547;0,748;0,539
Madalena (CE);(CE);Madalena;230763;0,61;0,536;0,778;0,545
Madeiro (PI);(PI);Madeiro;#N/D;0,563;0,472;0,772;0,489
Madre de Deus (BA);(BA);Madre de Deus;291992;0,708;0,67;0,794;0,667
